lag,out,node_id,metric,friedman_p_value,best_model_by_rank,significant_diff_found
7,7,189,MAE,0.4723665527410149,GCRN,False
7,7,190,RMSE,0.08737902619542039,LSTM,False
7,7,190,MAE,5.4762768601097123e-05,GCLSTM,True
7,7,191,RMSE,0.3049827687110593,GCLSTM,False
7,7,191,MAE,7.967935815531954e-05,GCLSTM,True
7,7,192,RMSE,0.03877420783172202,GCRN,True
7,7,192,MAE,5.771953345416447e-06,GCLSTM,True
7,7,193,RMSE,0.0002454297015009894,GCLSTM,True
7,7,193,MAE,0.569782824730923,GCRN,False
7,7,194,RMSE,3.500866670425978e-06,GCLSTM,True
7,7,194,MAE,2.2603294069810534e-06,GCLSTM,True
7,7,195,RMSE,3.500866670425978e-06,GCLSTM,True
7,7,195,MAE,0.36787944117144245,GCLSTM,False
7,7,196,RMSE,2.2603294069810534e-06,GCLSTM,True
7,7,196,MAE,1.2878968743320383e-06,GCLSTM,True
7,7,197,RMSE,3.500866670425978e-06,GCLSTM,True
7,7,197,MAE,0.3049827687110593,GCRN,False
7,7,198,RMSE,0.03877420783172202,GCLSTM,True
7,7,198,MAE,5.8294663730868845e-05,GCLSTM,True
7,7,199,RMSE,3.500866670425978e-06,GCLSTM,True
7,7,199,MAE,2.144540831658915e-05,GCLSTM,True
7,7,200,RMSE,4.78511739212901e-06,GCRN,True
7,7,200,MAE,7.967935815531954e-05,GCLSTM,True
7,7,201,RMSE,5.771953345416447e-06,GCRN,True
7,7,201,MAE,0.08737902619542039,GCRN,False
7,7,202,RMSE,3.500866670425978e-06,GCLSTM,True
7,7,202,MAE,5.8294663730868845e-05,GCLSTM,True
7,7,203,RMSE,0.00035709810857624736,GCRN,True
7,7,203,MAE,0.0002454297015009894,GCRN,True
7,7,204,RMSE,2.2603294069810534e-06,GCLSTM,True
7,7,204,MAE,0.1440636591014533,GCLSTM,False
7,7,205,RMSE,0.0990134083638263,LSTM,False
7,7,205,MAE,0.1737739434504451,LSTM,False
7,7,206,RMSE,0.0016004026902445637,GCLSTM,True
7,7,206,MAE,0.10539922456186433,GCRN,False
7,7,207,RMSE,2.2603294069810534e-06,GCLSTM,True
7,7,207,MAE,3.763786373644495e-05,GCLSTM,True
7,7,208,RMSE,0.003388052521834713,GCLSTM,True
7,7,208,MAE,1.2878968743320383e-06,GCLSTM,True
7,7,209,RMSE,2.144540831658915e-05,LSTM,True
7,7,209,MAE,0.02209287766506244,GCLSTM,True
7,7,210,RMSE,0.0990134083638263,GCLSTM,False
7,7,210,MAE,2.5868100222654134e-05,GCLSTM,True
7,7,211,RMSE,0.04978706836786395,LSTM,False
7,7,211,MAE,0.009209681603968142,GCRN,True
7,7,212,RMSE,0.00035709810857624736,GCRN,True
7,7,212,MAE,0.1440636591014533,GCRN,False
7,7,213,RMSE,9.611165206139472e-05,GCRN,True
7,7,213,MAE,0.00035709810857624736,GCLSTM,True
7,7,214,RMSE,1.2878968743320383e-06,GCLSTM,True
7,7,214,MAE,0.003388052521834713,GCRN,True
7,7,215,RMSE,0.0990134083638263,LSTM,False
7,7,215,MAE,0.1737739434504451,LSTM,False
7,7,216,RMSE,0.007172507245008699,GCLSTM,True
7,7,216,MAE,9.611165206139472e-05,GCLSTM,True
7,7,217,RMSE,0.0990134083638263,GCLSTM,False
7,7,217,MAE,1.2878968743320383e-06,GCLSTM,True
7,7,218,RMSE,0.018315638888734182,GCRN,True
7,7,218,MAE,0.0990134083638263,LSTM,False
7,7,219,RMSE,1.2878968743320383e-06,GCLSTM,True
7,7,219,MAE,7.967935815531954e-05,GCLSTM,True
7,7,220,RMSE,6.144212353328207e-06,GCRN,True
7,7,220,MAE,2.2828518322240145e-05,GCRN,True
7,7,221,RMSE,2.5868100222654134e-05,GCLSTM,True
7,7,221,MAE,0.0009118819655545164,GCLSTM,True
7,7,222,RMSE,3.967001651986408e-06,GCLSTM,True
7,7,222,MAE,3.500866670425978e-06,GCLSTM,True
7,7,223,RMSE,5.4762768601097123e-05,GCLSTM,True
7,7,223,MAE,0.00010231032105679586,GCLSTM,True
7,7,224,RMSE,0.569782824730923,GCLSTM,False
7,7,224,MAE,0.0680508540250102,GCLSTM,False
7,7,225,RMSE,0.0990134083638263,LSTM,False
7,7,225,MAE,0.3049827687110593,GCRN,False
7,7,226,RMSE,0.4437473100810798,GCRN,False
7,7,226,MAE,0.0990134083638263,LSTM,False
7,7,227,RMSE,6.144212353328207e-06,GCRN,True
7,7,227,MAE,0.00016868120253849854,GCLSTM,True
7,7,228,RMSE,0.2691463487291838,LSTM,False
7,7,228,MAE,0.1737739434504451,LSTM,False
7,7,229,RMSE,0.2691463487291838,GCLSTM,False
7,7,229,MAE,0.569782824730923,GCRN,False
7,7,230,RMSE,0.046770622383958974,LSTM,True
7,7,230,MAE,0.1440636591014533,LSTM,False
7,7,231,RMSE,0.007172507245008699,GCRN,True
7,7,231,MAE,0.1737739434504451,GCRN,False
7,7,232,RMSE,0.4723665527410149,GCLSTM,False
7,7,232,MAE,4.78511739212901e-06,GCLSTM,True
7,7,233,RMSE,3.500866670425978e-06,GCLSTM,True
7,7,233,MAE,0.0029899458563130608,GCRN,True
7,7,234,RMSE,0.04978706836786395,LSTM,False
7,7,234,MAE,0.4437473100810798,LSTM,False
7,7,235,RMSE,0.0010999396107533187,GCLSTM,True
7,7,235,MAE,0.0009118819655545164,GCLSTM,True
7,7,236,RMSE,1.873878895066732e-06,GCRN,True
7,7,236,MAE,1.2219225328134213e-05,GCLSTM,True
7,7,237,RMSE,5.4762768601097123e-05,GCLSTM,True
7,7,237,MAE,0.0002454297015009894,GCLSTM,True
7,7,238,RMSE,0.0009706932995199092,GCLSTM,True
7,7,238,MAE,0.0019304541362277095,GCLSTM,True
7,7,239,RMSE,0.007172507245008699,GCRN,True
7,7,239,MAE,0.019496896108597995,GCRN,True
7,7,240,RMSE,4.78511739212901e-06,GCLSTM,True
7,7,240,MAE,3.500866670425978e-06,GCLSTM,True
7,7,241,RMSE,6.144212353328207e-06,GCRN,True
7,7,241,MAE,0.00031513797473735615,GCRN,True
