model_name,lags,out,Accuracy,Precision,Recall,F1_Score
LSTM,8,14,0.83194373444137,0.332635758849814,0.3735134124236839,0.3499367441321198
GCRN,12,6,0.894831808750874,0.6293343257704163,0.2812524475987926,0.3887589782022263
GCLSTM,12,6,0.8945884773662552,0.6234841896532168,0.2867225371884395,0.3927867532117625
LSTM,12,6,0.8758691266320483,0.4935952402924387,0.4785525879779972,0.4782134956967107
GCRN,9,2,0.9158782075144732,0.7677074201369802,0.4199969788736953,0.5429531178459007
GCLSTM,9,2,0.9162133251179888,0.765457135059455,0.4263794678501809,0.547681648369505
LSTM,9,2,0.9216669447903164,0.7160802709282947,0.5660475755461405,0.6322684303784859
GCRN,2,5,0.8874885896092612,0.6535790324058525,0.1271097923524654,0.2128170411262532
GCLSTM,2,5,0.8873955005835101,0.6447893938842032,0.1312841000990967,0.2181351462389624
LSTM,2,5,0.8880017036790949,0.6435199396516877,0.1435236863986878,0.2346931646677062
GCRN,4,9,0.8853588009019763,0.5841231530309854,0.1675712712590236,0.260427788961341
GCLSTM,4,9,0.8850551754532348,0.5753258152279616,0.1747205393052655,0.2680359058614627
LSTM,4,9,0.8872630683646948,0.5945135524402919,0.2023248856383923,0.3016035122900568
GCRN,11,8,0.8909261193644898,0.6070609679690161,0.2439987681468714,0.3480772178554726
GCLSTM,11,8,0.8906403246328966,0.6025759907111607,0.2457311066327366,0.3490922199721867
LSTM,11,8,0.8841832808899893,0.5467537436241792,0.3910425907816324,0.4450749867011465
GCRN,6,13,0.8844323818139973,0.5791619985929669,0.1744113857965283,0.2680848139591365
GCLSTM,6,13,0.8840990458353504,0.5725775407014095,0.1772615406749254,0.270704452420236
LSTM,6,13,0.8678434609168129,0.4553970606016208,0.2958392098476938,0.350818618166196
GCRN,13,12,0.8856073503055428,0.5681235071393678,0.20549260438389,0.3018137030804072
GCLSTM,13,12,0.8855470622530286,0.5673704524924317,0.2054664029776283,0.3016683653585543
LSTM,13,12,0.8531132272390289,0.4131335816799458,0.3918640446117825,0.3915954256990008
GCRN,1,11,0.8816683529128493,0.670212609223337,0.0479434454721034,0.0894837834265682
GCLSTM,1,11,0.8816231529575047,0.6608771664859345,0.0492469808998255,0.0916629899116447
LSTM,1,11,0.8815907583595605,0.6478143527230543,0.0521728476944382,0.0965391230528445
GCRN,9,13,0.8848542844946291,0.5701656775483853,0.1876367414961044,0.2823333668292407
GCLSTM,9,13,0.8847334957802018,0.5690279755506171,0.1862009145086332,0.2805772824832447
LSTM,9,13,0.8678723081241705,0.4649407847543753,0.3300095985980762,0.3755747722406538
GCRN,4,3,0.8971164663423996,0.6713807485580096,0.2741062336361414,0.3892652483249739
GCLSTM,4,3,0.8970775656697304,0.6652074782878774,0.2810436788921356,0.3951393519103661
LSTM,4,3,0.869348711876631,0.4555760880530232,0.4723003045487669,0.4637681542483648
GCRN,14,3,0.9066416772699656,0.69966164960413,0.3674777972117033,0.4818566891107171
GCLSTM,14,3,0.9068237674381284,0.6992944359642047,0.3706440446069239,0.4844918316056329
LSTM,14,3,0.9060993615094513,0.6187263754411819,0.5367740276500826,0.5746314808427385
GCRN,8,2,0.9152902643258116,0.7681355127038109,0.4190170605728596,0.5422212817097688
GCLSTM,8,2,0.9156510183741792,0.7665026269485705,0.4249960870245735,0.5468029553414937
LSTM,8,2,0.9211810755326126,0.7201385330690501,0.5590709884887378,0.6294289139763852
GCRN,10,8,0.8909491815399428,0.6077751721096847,0.2432092295334986,0.3473878798100832
GCLSTM,10,8,0.8907432984284192,0.6058476206533817,0.241893271812715,0.3457404589293203
LSTM,10,8,0.8806057636094776,0.5209353796791847,0.3907584001037349,0.4380372565013264
GCRN,2,13,0.8805149467598925,0.5844504510144319,0.0696827615396617,0.1244967185438858
GCLSTM,2,13,0.8803422007052163,0.5742105755184108,0.072368461542199,0.1285187235936811
LSTM,2,13,0.8808914307305897,0.60537705184704,0.0667701040149995,0.1202427222898116
GCRN,11,13,0.8846792139431902,0.5651693489824877,0.1939183194527918,0.2887532961307498
GCLSTM,11,13,0.884542625692849,0.5630500175492295,0.1946479009671247,0.2892732516321818
LSTM,11,13,0.8480318382574001,0.3794619137752207,0.3749112239753606,0.3737414205257067
GCRN,6,10,0.8879428797413942,0.6014340276245379,0.2002552549759697,0.3004630116497997
GCLSTM,6,10,0.8876760376904296,0.596024036902606,0.2028246881925973,0.302639600292827
LSTM,6,10,0.8859116544585438,0.5774225331480625,0.2912133053087025,0.3778021625963265
GCRN,12,9,0.8896901767998484,0.5917723161391315,0.2356050904046839,0.3369982535315722
GCLSTM,12,9,0.8896024798523989,0.5907880416457354,0.235227503669414,0.3364754296709548
LSTM,12,9,0.8584589310435005,0.415786466939439,0.4555871868901112,0.4340353624976995
GCRN,11,11,0.8869736583297507,0.5795179365808544,0.2083129734891904,0.3064522218184196
