Identificador,tipo_grafo,RMSE,MAE,R2
GCRN_k1_h256_lags8_out6_alpha0.01,grafo_original,1.1703952227893328,0.1167200178585105,0.3882981547899305
GCLSTM_k1_h256_lags8_out6_alpha0.01,grafo_original,1.1810044783379037,0.1170232948009452,0.3771501622935224
LSTM_k1_h256_lags8_out6_alpha0.01,grafo_original,1.235434296042454,0.1205057555959961,0.318418991201452
GCRN_k1_h256_lags13_out10_alpha0.01,grafo_original,1.3063003082543176,0.1235374544580019,0.2430185887419641
GCLSTM_k1_h256_lags13_out10_alpha0.01,grafo_original,1.3162008323523864,0.1231473563300704,0.2314996743739232
LSTM_k1_h256_lags13_out10_alpha0.01,grafo_original,1.3173707122571716,0.1301168288406078,0.2301344898233735
GCRN_k1_h256_lags14_out8_alpha0.01,grafo_original,1.2635349786647414,0.1182492861165069,0.2856976630591399
GCLSTM_k1_h256_lags14_out8_alpha0.01,grafo_original,1.2783124268570838,0.1185560365444543,0.2688869917944666
LSTM_k1_h256_lags14_out8_alpha0.01,grafo_original,1.2742696670652869,0.1234417562328401,0.2735143619102457
GCRN_k1_h256_lags7_out3_alpha0.01,grafo_original,1.0405010443271905,0.109969468593968,0.5090039257523896
GCLSTM_k1_h256_lags7_out3_alpha0.01,grafo_original,1.0473127285049084,0.1076859093413733,0.5025341853680731
LSTM_k1_h256_lags7_out3_alpha0.01,grafo_original,1.070789301161009,0.1093885850858074,0.4796374190834033
GCRN_k1_h256_lags4_out6_alpha0.01,grafo_original,1.203164345695642,0.1309681022919105,0.3535622388576363
GCLSTM_k1_h256_lags4_out6_alpha0.01,grafo_original,1.212852896655587,0.1331678070717678,0.3431045278387109
LSTM_k1_h256_lags4_out6_alpha0.01,grafo_original,1.248393810744603,0.1389071260111099,0.3040510376212516
GCRN_k1_h256_lags3_out6_alpha0.01,grafo_original,1.262793954061675,0.1458774495601186,0.2925865121335275
GCLSTM_k1_h256_lags3_out6_alpha0.01,grafo_original,1.2666300038759362,0.1454116092797444,0.2882712175567895
LSTM_k1_h256_lags3_out6_alpha0.01,grafo_original,1.2925004897227963,0.1555386591391824,0.2589453992584151
GCRN_k1_h256_lags13_out2_alpha0.01,grafo_original,1.023495528126405,0.0980270506588005,0.5252515478174156
GCLSTM_k1_h256_lags13_out2_alpha0.01,grafo_original,1.0269172100783095,0.0959925519038325,0.5220455303962447
LSTM_k1_h256_lags13_out2_alpha0.01,grafo_original,0.9323452678060304,0.1046506904336757,0.606047507480446
GCRN_k1_h256_lags7_out5_alpha0.01,grafo_original,1.1320789752037057,0.1148004862389768,0.4251127894417103
GCLSTM_k1_h256_lags7_out5_alpha0.01,grafo_original,1.1416324667455058,0.1153632258871494,0.4153714075983392
LSTM_k1_h256_lags7_out5_alpha0.01,grafo_original,1.2042737476303749,0.1182771232131778,0.3494621826686589
GCRN_k1_h256_lags11_out6_alpha0.01,grafo_original,1.1773395799571604,0.1114491283148656,0.3766251991325443
GCLSTM_k1_h256_lags11_out6_alpha0.01,grafo_original,1.1943198548262672,0.1134930772637533,0.3585036066956455
LSTM_k1_h256_lags11_out6_alpha0.01,grafo_original,1.2205204473401767,0.1224110179181622,0.3300549621567106
GCRN_k1_h256_lags9_out7_alpha0.01,grafo_original,1.2056367262363232,0.1170241726418216,0.3497284698661003
GCLSTM_k1_h256_lags9_out7_alpha0.01,grafo_original,1.2131871792427271,0.1173084135122474,0.3415628886018694
LSTM_k1_h256_lags9_out7_alpha0.01,grafo_original,1.2543739128275475,0.1221860784228866,0.296091433972473
GCRN_k1_h256_lags5_out6_alpha0.01,grafo_original,1.182950478068301,0.1231994476361753,0.3751048409860917
